,gender,age,workFPtime,studyFPtime,yearsWorkExp,timeInPosition,hierarchy,sizeTeam,responsibility,applyAI,understandAI,detectAI,frequency,llmTaskComplexity,colleagueTaskComplexity,ownIdeas,modelLearning,directFeedback,vicariousFeedback,anticipatoryReflection,subsequentReflection,intrinsicIntend,extrinsicIntend,writtenContribution,orgComms,communContr,pEU,pUse,interviewtime
gender,1.0,0.08070941201984612,-0.0691604168965611,-0.14940357616679922,0.09888439646527014,-0.012225939377836084,0.12280898310810304,0.26244532958391187,0.03416006511500937,0.17334753539414466,0.062048715339389895,-0.012320471400110288,0.017524990930819582,-0.31425048518850446,-0.3592515211637773,-0.02945426113709928,-0.13637829757533174,0.05837084054177781,-0.027714581463012027,-0.35739390779150193,-0.19774073412381915,-0.25135014483158574,0.18263955484872202,0.005116043333234322,-0.15062157079831306,-0.0052431529805946255,0.25424355376605173,0.0839483151742216,0.19615257633718097
age,0.08070941201984612,1.0,-0.536733392388,0.47169618129058594,0.9592654286704335,0.923848434104856,0.8306992912963966,0.08036458410108714,0.38811387342408116,-0.37178166059205714,-0.3133912470395714,-0.35533249060432986,-0.327596184221983,0.2774626513894524,-0.13914531800517363,0.26787392127041154,-0.21338535078195905,-0.01769526189662427,-0.2117474147967201,0.16999559193713,0.022458951280263047,0.03522893060762912,-0.2184122155464213,-0.2591481326345742,0.08214663515427414,0.33135383611710084,-0.3372197914113273,-0.11524679033997999,0.4260785138199083
workFPtime,-0.0691604168965611,-0.536733392388,1.0,-0.7869470848066688,-0.4544094016511341,-0.4291171651440372,-0.4946626321960449,-0.037646162621052096,-0.3738951571402844,0.22072507978771208,0.2707759337048152,0.42945282495047077,0.19392570862142886,-0.12972086035382774,0.12534911338441376,-0.34222758857649144,0.011358943554696207,0.16147806665888184,0.03302711152410895,-0.11962055025169539,-0.20113142245795831,-0.13906784642850778,-0.0358156938879917,-0.09907175314045882,-0.3616117692388046,-0.5279727485619915,0.13268751732421016,0.06866108388078049,-0.18078639127040438
studyFPtime,-0.14940357616679922,0.47169618129058594,-0.7869470848066688,1.0,0.4090152087527318,0.37911063595054717,0.4109974682633931,0.048795003647426664,0.36781681963985985,-0.15894022308217187,-0.13453686038444723,-0.319549423784389,-0.14243531966412082,0.17473107738729138,0.008123551006197126,0.345004840663101,0.11778298845734125,-0.16046294670278655,0.01426934305367652,0.26579306344529324,0.4211245000044779,0.20428620116287727,-0.015474148334775055,0.32530956027092767,0.42448521236453296,0.42614011829561377,-0.14482751893788778,-0.08026994240132014,0.17426072860024192
yearsWorkExp,0.09888439646527014,0.9592654286704335,-0.4544094016511341,0.4090152087527318,1.0,0.9172739548790191,0.8539694136152678,0.17962108742648267,0.346997689263176,-0.39588984354047296,-0.3404970051222162,-0.41011617148183604,-0.38444189099266945,0.21709989741504898,-0.013592683270690362,0.2620655642883966,-0.2277365225266182,-0.008820081865029587,-0.1811930180877734,0.18860128651965138,0.06114371719903968,-0.0129579076641933,-0.11593874048189803,-0.285212142828497,0.10390948266720022,0.3378767308713393,-0.33859135135721274,-0.1167274652546926,0.5016967487502076
timeInPosition,-0.012225939377836084,0.923848434104856,-0.4291171651440372,0.37911063595054717,0.9172739548790191,1.0,0.8266261507437436,0.06636761315030099,0.4315875133063006,-0.31648493173482645,-0.29912330077124244,-0.35432550579665595,-0.3448037585160059,0.3133046366081671,-0.042729231111112556,0.26849841785594547,-0.2960694160980745,-0.07940899321506728,-0.20598100410279202,0.1607021551843923,-0.03320490584265868,-0.04892778866178732,-0.2392752568977488,-0.33807331735005036,0.10397150553458812,0.22863948982052673,-0.26177548870378653,-0.02899290860118711,0.1989731943558897
hierarchy,0.12280898310810304,0.8306992912963966,-0.4946626321960449,0.4109974682633931,0.8539694136152678,0.8266261507437436,1.0,0.04010924592599071,0.4882439975127762,-0.4180737874687463,-0.35099865716924217,-0.30927039689386865,-0.4614373219773096,-0.005419926825140403,0.05342014234968866,0.4051317601461425,-0.3267574429081301,-0.0917563336972927,-0.08210529416380062,0.07282685077199133,0.0659356584097249,-0.04938888910534626,0.012719671578249365,-0.11962757349709964,0.2253471989795511,0.32968001834345445,-0.3571424617100427,-0.14056925322825728,0.25838362097267964
sizeTeam,0.26244532958391187,0.08036458410108714,-0.037646162621052096,0.048795003647426664,0.17962108742648267,0.06636761315030099,0.04010924592599071,1.0,-0.0072760634010454175,-0.1231183841446511,-0.03710497639619201,-0.28166943766102315,-0.15126757757278053,0.09491211508442808,0.1043823579240601,0.16834512458535875,0.05507753795073265,0.07489364414437583,0.010444089695257884,0.16932237625357457,0.2576750713627618,-0.17590845760343873,0.13591100239851045,0.012531695668391594,0.08054961244402363,0.36327482718147897,0.011778098858036618,-0.18817535678858743,0.287336978753688
responsibility,0.03416006511500937,0.38811387342408116,-0.3738951571402844,0.36781681963985985,0.346997689263176,0.4315875133063006,0.4882439975127762,-0.0072760634010454175,1.0,-0.15807646191320965,0.02075197516403213,-0.12572062249106616,-0.23248630232607936,0.1315450361338812,0.24650824236073207,0.430548764608591,0.04646930452872767,0.23086493102824357,0.1282869229454632,0.1351399527192641,0.38923520785148397,0.16948288437425144,0.24218363946531207,0.09648513101579458,0.6657182624033012,0.5106246938018467,-0.15533333282530035,-0.160004613046657,-0.18961490643271062
applyAI,0.17334753539414466,-0.37178166059205714,0.22072507978771208,-0.15894022308217187,-0.39588984354047296,-0.31648493173482645,-0.4180737874687463,-0.1231183841446511,-0.15807646191320965,1.0,0.639959726701632,0.5175691491947868,0.7165315480155291,0.1426907040082503,0.02695294431588894,-0.1953502088341924,0.21031260558186715,0.1171937282016569,0.24586240122006442,-0.3571040306179628,-0.40359380393910005,-0.18323664294722805,-0.09046218188972469,-0.054511118726026125,-0.02231356078706862,-0.14265800901311634,0.7124175337829453,0.7141255092081127,-0.15739659973988054
understandAI,0.062048715339389895,-0.3133912470395714,0.2707759337048152,-0.13453686038444723,-0.3404970051222162,-0.29912330077124244,-0.35099865716924217,-0.03710497639619201,0.02075197516403213,0.639959726701632,1.0,0.4188323390936814,0.7065976453074944,0.220373296236145,0.07151478941555453,-0.019460068915632775,0.38840300090546126,0.31963975072271983,0.24278610506634507,-0.3786433806989857,-0.16950109699580204,-0.30488990956325895,-0.13022835203970204,0.013395239065883401,0.03465848568230994,-0.16191398481350658,0.6100863067598509,0.443530347200992,-0.06439869234309842
detectAI,-0.012320471400110288,-0.35533249060432986,0.42945282495047077,-0.319549423784389,-0.41011617148183604,-0.35432550579665595,-0.30927039689386865,-0.28166943766102315,-0.12572062249106616,0.5175691491947868,0.4188323390936814,1.0,0.2783159167704089,-0.16252703359599488,0.030145657274865005,0.02667244307339968,0.29138698910823296,0.1691815128692878,0.4447604954864102,-0.13299480324509838,-0.03410762683173093,0.0727736783640622,-0.09111907738131886,-0.1678859066426005,-0.05104881909207341,-0.27124749052770436,0.5255434811305683,0.35646782104128755,-0.2687503637822866
frequency,0.017524990930819582,-0.327596184221983,0.19392570862142886,-0.14243531966412082,-0.38444189099266945,-0.3448037585160059,-0.4614373219773096,-0.15126757757278053,-0.23248630232607936,0.7165315480155291,0.7065976453074944,0.2783159167704089,1.0,0.34901034868249975,-0.10073407440445294,-0.28699922657172194,0.39350661604422627,0.2574907386959469,0.005678927992014906,-0.3553856995901177,-0.29067393502352473,-0.2290552684489535,0.046350196005426635,0.12516342377118797,-0.11632947114933834,-0.12591035875674608,0.5282274937650517,0.6167681609748074,0.014465131244229493
llmTaskComplexity,-0.31425048518850446,0.2774626513894524,-0.12972086035382774,0.17473107738729138,0.21709989741504898,0.3133046366081671,-0.005419926825140403,0.09491211508442808,0.1315450361338812,0.1426907040082503,0.220373296236145,-0.16252703359599488,0.34901034868249975,1.0,-0.14837132038037404,-0.046309094989689846,0.1587210837271721,0.16019993411180283,-0.005057160399586902,0.2048281051693565,-0.03900654733511262,-0.07032063012604906,-0.1735797964369411,-0.18810817453835682,0.020117068930458153,-0.012685458407456138,0.21023566393194446,0.2307214250710778,0.12323505943828097
colleagueTaskComplexity,-0.3592515211637773,-0.13914531800517363,0.12534911338441376,0.008123551006197126,-0.013592683270690362,-0.042729231111112556,0.05342014234968866,0.1043823579240601,0.24650824236073207,0.02695294431588894,0.07151478941555453,0.030145657274865005,-0.10073407440445294,-0.14837132038037404,1.0,0.012011418945049647,0.10843915963149413,0.1773932851136147,0.18952549855859668,-0.01619387630993391,0.30734935196063917,0.0829764687504438,0.32934718718051287,0.08484357744501601,0.4679188537107277,0.3732603658078491,-0.06568868365993737,0.07101968753308158,-0.1207861259969768
ownIdeas,-0.02945426113709928,0.26787392127041154,-0.34222758857649144,0.345004840663101,0.2620655642883966,0.26849841785594547,0.4051317601461425,0.16834512458535875,0.430548764608591,-0.1953502088341924,-0.019460068915632775,0.02667244307339968,-0.28699922657172194,-0.046309094989689846,0.012011418945049647,1.0,0.2007597140917001,0.11862962862755658,0.5116395700502978,0.5440132570929952,0.4249979329255125,0.3109399777141264,0.1277464133580816,-0.2721448330443924,0.32108461433832014,0.2650073661758932,0.008178990268493681,-0.04171228746515157,0.16460196061990992
modelLearning,-0.13637829757533174,-0.21338535078195905,0.011358943554696207,0.11778298845734125,-0.2277365225266182,-0.2960694160980745,-0.3267574429081301,0.05507753795073265,0.04646930452872767,0.21031260558186715,0.38840300090546126,0.29138698910823296,0.39350661604422627,0.1587210837271721,0.10843915963149413,0.2007597140917001,1.0,0.6892265990732201,0.5609289085067536,0.35980046313138475,0.4940447155915038,0.31846022567948745,0.26541487767847805,0.12477885809417387,0.2985940118520119,0.28454467400837996,0.28608053089687746,0.25100493815874025,0.134825261341719
directFeedback,0.05837084054177781,-0.01769526189662427,0.16147806665888184,-0.16046294670278655,-0.008820081865029587,-0.07940899321506728,-0.0917563336972927,0.07489364414437583,0.23086493102824357,0.1171937282016569,0.31963975072271983,0.1691815128692878,0.2574907386959469,0.16019993411180283,0.1773932851136147,0.11862962862755658,0.6892265990732201,1.0,0.50796515239151,0.2263846355953365,0.3469683187052819,-0.014671519224117422,0.31226768994757786,0.09884578512059328,0.4022683378719807,0.3190761150631289,0.2011349176385332,0.07018452394732377,0.1357922966891801
vicariousFeedback,-0.027714581463012027,-0.2117474147967201,0.03302711152410895,0.01426934305367652,-0.1811930180877734,-0.20598100410279202,-0.08210529416380062,0.010444089695257884,0.1282869229454632,0.24586240122006442,0.24278610506634507,0.4447604954864102,0.005678927992014906,-0.005057160399586902,0.18952549855859668,0.5116395700502978,0.5609289085067536,0.50796515239151,1.0,0.26627861250194307,0.31762755496894374,0.11788723801757423,0.10295076535317339,-0.17437865597221536,0.4687962459913126,0.1512136846601245,0.4401198453864202,0.1971456372656942,0.08401950391911833
anticipatoryReflection,-0.35739390779150193,0.16999559193713,-0.11962055025169539,0.26579306344529324,0.18860128651965138,0.1607021551843923,0.07282685077199133,0.16932237625357457,0.1351399527192641,-0.3571040306179628,-0.3786433806989857,-0.13299480324509838,-0.3553856995901177,0.2048281051693565,-0.01619387630993391,0.5440132570929952,0.35980046313138475,0.2263846355953365,0.26627861250194307,1.0,0.5818685791347437,0.5922192543106309,0.17051486181900846,-0.1355756416307074,0.1612721676530902,0.19793629261420356,-0.2115173342490363,-0.2336435635611391,0.15455012766501253
subsequentReflection,-0.19774073412381915,0.022458951280263047,-0.20113142245795831,0.4211245000044779,0.06114371719903968,-0.03320490584265868,0.0659356584097249,0.2576750713627618,0.38923520785148397,-0.40359380393910005,-0.16950109699580204,-0.03410762683173093,-0.29067393502352473,-0.03900654733511262,0.30734935196063917,0.4249979329255125,0.4940447155915038,0.3469683187052819,0.31762755496894374,0.5818685791347437,1.0,0.3976172972890082,0.47943137642082684,0.33819771560660267,0.49596753321059156,0.39862809268775323,-0.06837219309975795,-0.3373365252817287,0.04987305942901426
intrinsicIntend,-0.25135014483158574,0.03522893060762912,-0.13906784642850778,0.20428620116287727,-0.0129579076641933,-0.04892778866178732,-0.04938888910534626,-0.17590845760343873,0.16948288437425144,-0.18323664294722805,-0.30488990956325895,0.0727736783640622,-0.2290552684489535,-0.07032063012604906,0.0829764687504438,0.3109399777141264,0.31846022567948745,-0.014671519224117422,0.11788723801757423,0.5922192543106309,0.3976172972890082,1.0,0.15108461299281858,-0.07458325750084004,0.07970263923140407,0.13630512814253923,-0.25833594195112575,-0.18505462548136883,0.048558696825026774
extrinsicIntend,0.18263955484872202,-0.2184122155464213,-0.0358156938879917,-0.015474148334775055,-0.11593874048189803,-0.2392752568977488,0.012719671578249365,0.13591100239851045,0.24218363946531207,-0.09046218188972469,-0.13022835203970204,-0.09111907738131886,0.046350196005426635,-0.1735797964369411,0.32934718718051287,0.1277464133580816,0.26541487767847805,0.31226768994757786,0.10295076535317339,0.17051486181900846,0.47943137642082684,0.15108461299281858,1.0,0.3619763164904989,0.3599016454913395,0.34396278250818696,-0.06968365932647819,0.08634007637489452,0.012098688807743455
writtenContribution,0.005116043333234322,-0.2591481326345742,-0.09907175314045882,0.32530956027092767,-0.285212142828497,-0.33807331735005036,-0.11962757349709964,0.012531695668391594,0.09648513101579458,-0.054511118726026125,0.013395239065883401,-0.1678859066426005,0.12516342377118797,-0.18810817453835682,0.08484357744501601,-0.2721448330443924,0.12477885809417387,0.09884578512059328,-0.17437865597221536,-0.1355756416307074,0.33819771560660267,-0.07458325750084004,0.3619763164904989,1.0,0.3240248566230808,0.19431448923625938,-0.1615661579016391,-0.2765871925100613,-0.1434719495744094
orgComms,-0.15062157079831306,0.08214663515427414,-0.3616117692388046,0.42448521236453296,0.10390948266720022,0.10397150553458812,0.2253471989795511,0.08054961244402363,0.6657182624033012,-0.02231356078706862,0.03465848568230994,-0.05104881909207341,-0.11632947114933834,0.020117068930458153,0.4679188537107277,0.32108461433832014,0.2985940118520119,0.4022683378719807,0.4687962459913126,0.1612721676530902,0.49596753321059156,0.07970263923140407,0.3599016454913395,0.3240248566230808,1.0,0.6466380527089539,-0.03388713887516215,-0.15755862781337945,-0.07997146221798851
communContr,-0.0052431529805946255,0.33135383611710084,-0.5279727485619915,0.42614011829561377,0.3378767308713393,0.22863948982052673,0.32968001834345445,0.36327482718147897,0.5106246938018467,-0.14265800901311634,-0.16191398481350658,-0.27124749052770436,-0.12591035875674608,-0.012685458407456138,0.3732603658078491,0.2650073661758932,0.28454467400837996,0.3190761150631289,0.1512136846601245,0.19793629261420356,0.39862809268775323,0.13630512814253923,0.34396278250818696,0.19431448923625938,0.6466380527089539,1.0,-0.2544684161876795,-0.1189126226562425,0.2255929434154109
pEU,0.25424355376605173,-0.3372197914113273,0.13268751732421016,-0.14482751893788778,-0.33859135135721274,-0.26177548870378653,-0.3571424617100427,0.011778098858036618,-0.15533333282530035,0.7124175337829453,0.6100863067598509,0.5255434811305683,0.5282274937650517,0.21023566393194446,-0.06568868365993737,0.008178990268493681,0.28608053089687746,0.2011349176385332,0.4401198453864202,-0.2115173342490363,-0.06837219309975795,-0.25833594195112575,-0.06968365932647819,-0.1615661579016391,-0.03388713887516215,-0.2544684161876795,1.0,0.559072518033633,-0.12069403488847587
pUse,0.0839483151742216,-0.11524679033997999,0.06866108388078049,-0.08026994240132014,-0.1167274652546926,-0.02899290860118711,-0.14056925322825728,-0.18817535678858743,-0.160004613046657,0.7141255092081127,0.443530347200992,0.35646782104128755,0.6167681609748074,0.2307214250710778,0.07101968753308158,-0.04171228746515157,0.25100493815874025,0.07018452394732377,0.1971456372656942,-0.2336435635611391,-0.3373365252817287,-0.18505462548136883,0.08634007637489452,-0.2765871925100613,-0.15755862781337945,-0.1189126226562425,0.559072518033633,1.0,-0.0819572101995503
interviewtime,0.19615257633718097,0.4260785138199083,-0.18078639127040438,0.17426072860024192,0.5016967487502076,0.1989731943558897,0.25838362097267964,0.287336978753688,-0.18961490643271062,-0.15739659973988054,-0.06439869234309842,-0.2687503637822866,0.014465131244229493,0.12323505943828097,-0.1207861259969768,0.16460196061990992,0.134825261341719,0.1357922966891801,0.08401950391911833,0.15455012766501253,0.04987305942901426,0.048558696825026774,0.012098688807743455,-0.1434719495744094,-0.07997146221798851,0.2255929434154109,-0.12069403488847587,-0.0819572101995503,1.0
