"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","DemQ01","DemQ01[other]","DemQ02","DemQ03","DemQ03[other]","DemQ04","DemQ07[SQ001]","DemQ07[SQ002]","G01Q31","DemG055[SQ001]","DemG055[SQ002]","DemQ05","DemQ05[other]","DemQ06","DemQ06[other]","DemQ51[SQ001]","DemQ51[SQ002]","DemQ51[SQ003]","DemQ51[SQ004]","DemQ51[SQ005]","DemQ51[SQ006]","G03Disclaimer","LitQ01[SQ001]","LitQ01[SQ002]","LitQ01[SQ003]","LitQ01[SQ004]","LitQ01[SQ005]","LitQ01[SQ006]","LitQ01[SQ007]","LitQ01[SQ008]","LitQ01[SQ009]","LitQ01[SQ010]","LitQ01[SQ011]","LitQ01[SQ012]","LitQ01[SQ013]","LitQ01[SQ014]","LitQ01[SQ015]","G04Disclaimer","UseQ01[SQ001]","UseQ02","GTCQ01[SQ001]","GTCQ01[SQ002]","GTCQ01[SQ003]","GTCQ01[SQ004]","GTCQ01[SQ005]","GTCQ02[SQ001]","GTCQ02[SQ002]","GTCQ02[SQ003]","GTCQ02[SQ004]","GTCQ02[SQ005]","G05Disclaimer","ILQ01[SQ001]","ILQ01[SQ002]","ILQ01[SQ003]","ILQ01[SQ004]","ILQ01[SQ005]","ILQ01[SQ006]","ILQ01[SQ007]","ILQ01[SQ008]","ILQ01[SQ009]","ILQ01[SQ010]","ILQ01[SQ011]","ILQ01[SQ012]","ILQ01[SQ013]","ILQ01[SQ014]","ILQ01[SQ015]","G06Disclaimer","WrittQ01[SQ001]","WrittQ01[SQ002]","OrgQ01[SQ001]","OrgQ01[SQ002]","OrgQ01[SQ003]","OrgQ01[SQ004]","OrgQ01[SQ005]","OrgQ01[SQ006]","OrgQ01[SQ007]","OrgQ01[SQ008]","CommQ01[SQ001]","CommQ01[SQ002]","CommQ01[SQ003]","CommQ01[SQ004]","CommQ01[SQ005]","CommQ01[SQ006]","CommQ01[SQ007]","G07Disclaimer","PEUQ01[SQ001]","PEUQ01[SQ002]","PEUQ01[SQ003]","PEUQ01[SQ004]","PEUQ01[SQ005]","PEUQ01[SQ006]","G08Disclaimer","PUQ01[SQ001]","PUQ01[SQ002]","PUQ01[SQ003]","PUQ01[SQ004]","PUQ01[SQ005]","PUQ01[SQ006]","PUQ01[SQ007]","G09Disclaimer","OpenQ01","OpenQ02","G10Q28","interviewtime","groupTime30404","DemQ01Time","DemQ02Time","DemQ03Time","DemQ04Time","DemQ07Time","G01Q31Time","DemG055Time","DemQ05Time","DemQ06Time","DemQ51Time","groupTime30405","G03DisclaimerTime","LitQ01Time","groupTime30406","G04DisclaimerTime","UseQ01Time","UseQ02Time","groupTime31251","GTCQ01Time","GTCQ02Time","groupTime30407","G05DisclaimerTime","ILQ01Time","groupTime30408","G06DisclaimerTime","WrittQ01Time","OrgQ01Time","CommQ01Time","groupTime30409","G07DisclaimerTime","PEUQ01Time","groupTime30410","G08DisclaimerTime","PUQ01Time","groupTime30411","G09DisclaimerTime","OpenQ01Time","OpenQ02Time","groupTime31270","G10Q28Time"
"3","","1","en","959255260","2025-04-25 18:41:25","2025-04-25 18:43:06","Other","ITS ME DAVID DO NOT USE","28","Student","","Computer Science","Full-time","No","2.5","0","12","Other","ITS ME DAVID DO NOT USE","2-5","","1 - Not at all","2","3","4","5 - A great extent","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.77","100.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2025-04-26 00:09:45","10","en","1523728688","2025-04-25 23:53:39","2025-04-26 00:09:45","Male","","28","Employee","","Chemical Industry ","No","Full-time","2","1","1","Entry-level","","11-20","","3","1 - Not at all","2","4","4","5 - A great extent","","2","2","1 - no ability","2","3","2","4","4","5","2","4","4","1 - no ability","2","1 - no ability","","Once a month","While using bing or Google.","1 - strongly disagree","1 - strongly disagree","6","5","5","7 - strongly agree","6","4","5","4","","6 - fully agree","4","1 - not agree at all","1 - not agree at all","6 - fully agree","5","2","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","5","4","5","","often","sometimes","often","never","often","often","always","sometimes","rarely","rarely","sometimes","often","never","rarely","rarely","rarely","rarely","","2","5","3","1 - extremely disagree","5","6","","2","1 - extremely disagree","3","4 - neither","5","5","1 - extremely disagree","","Predictive Maintenance ","To run the plant autonomous without human interaction. Very easy to manipulate because of black box problem.","Maybe we can soon chat with an AI about the topic casually and still transfer the information needed.","895.87","139.53","","","","","","","","","","","122.14","","","57.94","","","","87.3","","","129.91","","","147.73","","","","","34.6","","","39.54","","","56.66","","","","80.52",""
"5","2025-04-26 10:13:30","10","en","1990515104","2025-04-26 09:53:59","2025-04-26 10:13:30","Female","","22","Student","","Social Sciences","Full-time","Half-time","1","1","1","Entry-level","","11-20","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","4","1 - Not at all","","5","5","5","5","5","5","2","4","5","5","2","5","3","3","6 - perfect ability","","Multiple times a week","translations, formulations, explanations, conceptualization of ideas","3","2","3","2","5","3","2","2","5","5","","5","2","1 - not agree at all","4","6 - fully agree","2","5","6 - fully agree","4","2","2","5","5","5","5","","often","never","often","never","never","never","sometimes","never","sometimes","rarely","never","never","never","never","never","never","never","","6","6","5","5","5","6","","6","6","6","6","6","6","3","","ChatGPT is very impressive. For instance, when thinking about a research design it can really help organizing your ideas and coming to a clear proposal. ","ChatGPT is very unhelpful when it comes to literature research. Sometimes it just invents sources or has problems finding credible papers regarding a topic.","","1172.55","199.1","","","","","","","","","","","126.51","","","111.17","","","","105.96","","","98.35","","","147.02","","","","","29.2","","","38.27","","","304.2","","","","12.77",""
"6","","","en","1856470458","2025-04-26 20:21:42","2025-04-26 20:21:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2025-04-28 04:15:32","10","en","709776604","2025-04-28 04:01:14","2025-04-28 04:15:32","Female","","26","Employee","","Fishing","No","Full-time","3","1","5","Mid-level","","2-5","","2","1 - Not at all","1 - Not at all","3","4","1 - Not at all","","5","5","4","5","5","6 - perfect ability","3","4","4","3","3","3","4","4","5","","Multiple times a month","To search for laws and ways to apply them","4","3","3","2","3","4","5","5","5","3","","6 - fully agree","6 - fully agree","3","6 - fully agree","6 - fully agree","3","2","5","2","2","6 - fully agree","4","4","5","5","","rarely","rarely","often","never","always","rarely","sometimes","often","rarely","never","never","rarely","never","never","never","never","never","","7 - extremely agree","5","6","6","6","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","6","5","","The way it helps to search for and compile information that would take me a long time to do by myself ","The information is not always what I’m looking for, so I have to verify or cross-check what it shows","It’s well done ","862.25","112.27","","","","","","","","","","","92.32","","","85.63","","","","58.57","","","99.06","","","157.72","","","","","29.92","","","23.34","","","181.82","","","","21.6",""
"8","","","en","1375667929","2025-04-28 08:50:27","2025-04-28 08:50:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","","1","en","1241942998","2025-04-28 11:25:52","2025-04-28 11:29:43","Female","","26","Employee","","Gym","No","Full-time","4","4","0","Senior-level","","11-20","","3","1 - Not at all","3","1 - Not at all","3","1 - Not at all","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230.45","230.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","4","en","1519810074","2025-04-29 20:26:55","2025-04-29 20:33:54","Male","","28","Other","Arbeitslos","Raumfahrt, Luftfahrt ","No","No","10","0","3","Senior-level","","21+","","5 - A great extent","3","5 - A great extent","5 - A great extent","4","3","","5","5","5","5","5","5","5","4","5","5","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","","Multiple times a month","ChatGPT","4","3","4","5","4","5","4","1 - strongly disagree","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418.51","143.98","","","","","","","","","","","101.13","","","22.91","","","","150.49","","","","","","","","","","","","","","","","","","","","","",""
"11","2025-04-30 08:46:11","10","en","819620125","2025-04-30 08:38:14","2025-04-30 08:46:11","Male","","28","Student","","Data Science","Full-time","Half-time","2","0","3","Entry-level","","2-5","","2","1 - Not at all","3","4","5 - A great extent","4","","5","5","5","5","5","5","5","5","5","5","3","3","5","5","5","","Multiple times a week","Writing Emails, concepts for work. Help with coding. ","6","5","2","4","4","7 - strongly agree","7 - strongly agree","2","6","7 - strongly agree","","4","5","4","4","4","5","4","5","6 - fully agree","5","6 - fully agree","5","4","4","4","","sometimes","rarely","often","sometimes","sometimes","sometimes","rarely","often","often","rarely","sometimes","sometimes","never","rarely","sometimes","never","never","","6","5","5","6","6","6","","7 - extremely agree","6","6","6","6","6","4 - neither","","","","","479.21","91.18","","","","","","","","","","","74","","","93.03","","","","36.48","","","57.16","","","70.94","","","","","21.45","","","22.67","","","10.04","","","","2.26",""
"12","2025-04-30 11:03:01","10","en","2718294","2025-04-30 10:34:52","2025-04-30 11:03:01","Female","","24","Student","","IT","Full-time","Half-time","5.5","1","6","Other","Working student","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","4","5 - A great extent","5 - A great extent","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","5","5","5","6 - perfect ability","5","","Multiple times a week","Usually for bug fixing or specific low knowledge-high effort tasks","2","2","2","2","3","6","6","6","6","6","","5","4","5","5","5","5","4","5","6 - fully agree","5","5","4","5","5","6 - fully agree","","sometimes","sometimes","sometimes","never","often","often","often","often","often","sometimes","never","never","never","never","never","never","never","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","","7 - extremely agree","6","7 - extremely agree","6","7 - extremely agree","6","5","","","","","1693.07","112.11","","","","","","","","","","","77.51","","","45.79","","","","227.82","","","119.98","","","1035.59","","","","","34.31","","","25.2","","","8.89","","","","5.87",""
"13","","4","en","1631744601","2025-04-30 16:13:06","2025-04-30 16:18:50","Male","","25","Student","","Business","Half-time","Half-time","2","1","2","Entry-level","","2-5","","2","1 - Not at all","1 - Not at all","3","5 - A great extent","3","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","4","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","5","4","","Multiple times a day","Text correction
Programming ","6","3","6","5","6","5","4","4","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","343.63","147.85","","","","","","","","","","","99.33","","","42.25","","","","54.2","","","","","","","","","","","","","","","","","","","","","",""
"14","2025-04-30 18:17:13","10","en","107444724","2025-04-30 18:05:50","2025-04-30 18:17:13","Male","","30","Academic (e.g. researcher, lecturer - not student)","","Psychology","No","Full-time","5.5","2","1","Mid-level","","2-5","","2","3","1 - Not at all","5 - A great extent","5 - A great extent","5 - A great extent","","5","5","5","4","4","5","5","6 - perfect ability","5","5","3","4","4","3","4","","Multiple times a week","Literature search, generating summaries, improving language for written text, help with programming","3","4","2","6","5","7 - strongly agree","7 - strongly agree","6","5","7 - strongly agree","","5","4","5","3","5","5","4","5","4","3","4","6 - fully agree","5","6 - fully agree","6 - fully agree","","often","sometimes","often","sometimes","often","rarely","often","often","rarely","often","sometimes","sometimes","sometimes","sometimes","rarely","rarely","sometimes","","6","5","6","5","6","6","","6","4 - neither","5","5","6","6","4 - neither","","Application of LLMs on a private server to study real-life interactions of people with LLMs","Uncritical use for literature search and hallucination of sources","","686.46","122.21","","","","","","","","","","","76.15","","","88.77","","","","77.02","","","58.51","","","117.02","","","","","29.46","","","27.15","","","83.9","","","","6.27",""
"15","","2","en","829412898","2025-05-02 13:50:25","2025-05-02 13:54:03","Male","","33","Employee","","Procurement ","No","Full-time","5","2","6","Mid-level","","6-10","","4","5 - A great extent","1 - Not at all","2","4","4","","3","4","4","4","4","4","3","3","3","4","2","3","1 - no ability","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","218.59","129.44","","","","","","","","","","","89.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2025-05-04 14:19:32","10","en","1724255979","2025-05-04 14:04:29","2025-05-04 14:19:32","Male","","26","Employee","","IT-Consulting","Full-time","Full-time","3","0","4","Entry-level","","2-5","","2","3","2","4","5 - A great extent","4","","5","4","4","5","5","4","5","5","5","5","5","5","4","4","4","","Multiple times a week","Software development, automation of repetitive tasks involving text","5","1 - strongly disagree","2","4","5","7 - strongly agree","7 - strongly agree","6","4","7 - strongly agree","","4","6 - fully agree","4","4","4","5","5","6 - fully agree","5","5","5","5","5","5","5","","often","often","often","often","often","rarely","often","often","often","sometimes","rarely","sometimes","sometimes","never","often","never","sometimes","","6","4 - neither","4 - neither","3","5","4 - neither","","6","5","6","6","5","5","2","","Softening the initial learning curve when having to work with unfamiliar (but overall well-established) technologies and programming languages.","Low-quality ""AI slop"" code and documentation","","905.79","98.86","","","","","","","","","","","76.72","","","96.43","","","","39.34","","","86.83","","","110.17","","","","","24.21","","","27.44","","","334.56","","","","11.23",""
"17","2025-05-04 19:04:12","10","en","1512355718","2025-05-04 18:54:38","2025-05-04 19:04:12","Male","","30","Student","","IT","Full-time","Half-time","1","0","7","Entry-level","","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","4","3","","5","5","2","3","4","4","4","6 - perfect ability","5","5","4","4","5","5","6 - perfect ability","","Multiple times a day","Coding assistance","6","6","6","3","3","6","6","6","3","3","","5","5","5","5","6 - fully agree","4","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","4","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","","sometimes","sometimes","sometimes","never","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","never","never","never","never","never","never","never","","7 - extremely agree","4 - neither","5","5","7 - extremely agree","5","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","Image generation has become really good. Other than that, Github Copilot is really helpful for routine tasks such as code refactoring, adjusting several functions at once etc.","Using it just to copy paste code without trying to learn something is concerning. LLMs should always be used as a tool not only to achieve results faster, but also to improve your own skills.","","577.62","81.35","","","","","","","","","","","78.49","","","31.07","","","","30.17","","","52.89","","","69.06","","","","","27.3","","","22.8","","","178.71","","","","5.78",""
"18","2025-05-04 21:20:54","10","en","1070056764","2025-05-04 21:03:46","2025-05-04 21:20:54","Male","","29","Student","","Finance ","Full-time","Half-time","5","5","6","Entry-level","","6-10","","3","5 - A great extent","2","3","4","5 - A great extent","","5","5","5","4","4","4","5","6 - perfect ability","3","4","4","3","4","3","5","","Multiple times a week","Studies ","5","5","5","5","5","6","6","4","6","6","","5","3","3","3","6 - fully agree","5","2","5","5","6 - fully agree","6 - fully agree","5","5","5","5","","sometimes","sometimes","often","often","often","often","often","often","sometimes","sometimes","rarely","rarely","rarely","rarely","rarely","rarely","rarely","","5","6","6","6","5","5","","6","3","3","3","3","2","2","","Collect research data ","Prove of evidence","No, it was understandable. ","1031.97","165.48","","","","","","","","","","","326.31","","","23.84","","","","61.83","","","147.27","","","165.93","","","","","42.29","","","41.3","","","33.43","","","","24.29",""
"19","2025-05-05 20:19:06","10","en","1467253109","2025-05-05 20:01:03","2025-05-05 20:19:06","Male","","28","Employee","","Energy Systems Engineering","No","Full-time","7","1","5","Mid-level","","6-10","","4","4","2","4","5 - A great extent","4","","5","5","4","4","4","4","4","4","4","4","5","5","4","4","5","","Multiple times a week","Advanced web research for engineering knowledge; verify unit conversions; MS Office Know-how (e.g. Excel formulas, advanced user knowledge for MS office programs); Basic programming (e.g. Powershell, Python) ","5","4","5","4","4","6","5","5","6","6","","5","6 - fully agree","4","5","5","5","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","","often","often","always","often","often","always","often","always","often","often","often","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","","5","5","5","6","5","5","","5","5","5","5","5","5","4 - neither","","As a non software engineer: Programming. 
You can create functional code for simple programs in new languages within a fraction of the time it would take without LLMs. ","Trusting LLMs too much. I've seen colleagues using technical values calculated by LLMs which where magnitudes off the actual value because wrong engineering equations where beeing used or the right equations where used incorrectly or with false assumptions. ","Some questions seem very similar / indifferent. Maybe less questions or questions where the motivation is more clear are better. ","1084.79","103.02","","","","","","","","","","","58.05","","","281.11","","","","44.79","","","62.53","","","136.96","","","","","26.22","","","24.11","","","256.53","","","","91.47",""
"20","2025-05-05 23:37:43","10","en","1543450556","2025-05-05 20:54:39","2025-05-05 23:37:43","Male","","25","Employee","","IT-Governance / Consulting","Half-time","Half-time","3","3","1","Entry-level","","2-5","","2","1 - Not at all","2","3","4","5 - A great extent","","6 - perfect ability","6 - perfect ability","4","5","4","4","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","5","3","3","3","","Every time I need help","Coding, Q&A","5","5","5","5","4","4","5","5","4","4","","5","4","5","5","5","3","5","4","4","2","2","4","3","5","5","","sometimes","never","sometimes","rarely","often","sometimes","often","sometimes","often","rarely","rarely","rarely","rarely","sometimes","rarely","never","rarely","","6","5","5","6","6","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","6","6","7 - extremely agree","5","","Automated Textual Analysis / Supported Strategic Decision Making","","","1169.25","164.63","","","","","","","","","","","344.23","","","31.91","","","","68.31","","","141.45","","","193.52","","","","","63.53","","","40.95","","","115.9","","","","4.82",""
"21","2025-05-05 22:59:22","10","en","741938233","2025-05-05 22:45:11","2025-05-05 22:59:22","Female","","28","Employee","","IT","Half-time","Full-time","5","1","0","Mid-level","","6-10","","3","2","3","5 - A great extent","4","4","","3","4","2","3","2","2","3","5","5","5","3","5","2","2","4","","Multiple times a week","","2","1 - strongly disagree","3","4","4","7 - strongly agree","7 - strongly agree","2","2","2","","5","4","4","2","5","5","2","2","6 - fully agree","6 - fully agree","6 - fully agree","4","6 - fully agree","6 - fully agree","5","","always","always","always","sometimes","often","always","sometimes","often","often","rarely","rarely","rarely","rarely","rarely","rarely","rarely","rarely","","5","5","5","5","5","5","","5","3","3","3","2","5","2","","Summarizing, write communication in different styles e.g as post, stakeholder information, management update ","No sources ","","854.09","298.71","","","","","","","","","","","96.72","","","19.44","","","","58.46","","","103.98","","","81.1","","","","","26.93","","","111.27","","","49.7","","","","7.78",""
"22","","5","en","1294319877","2025-05-06 15:00:25","2025-05-06 15:06:39","Female","","24","Student","","IT Management ","Half-time","Half-time","3","1","4","Entry-level","","6-10","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","5 - A great extent","3","","6 - perfect ability","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","4","6 - perfect ability","6 - perfect ability","5","","Every day","ChatGPT, ChatPwC, Copilot ","5","4","6","5","5","5","4","5","5","5","","4","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","3","4","4","5","6 - fully agree","6 - fully agree","6 - fully agree","4","6 - fully agree","6 - fully agree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374.34","128.4","","","","","","","","","","","81.62","","","28.11","","","","45.95","","","90.26","","","","","","","","","","","","","","","","","","",""
"23","2025-05-07 09:56:52","10","en","638818344","2025-05-07 09:40:19","2025-05-07 09:56:52","Female","","26","Employee","","Procurement","No","Half-time","0","0","0","Entry-level","","2-5","","3","2","1 - Not at all","3","3","3","","4","5","5","5","4","5","3","2","5","4","3","4","3","2","4","","Multiple times a day","I use it to optimize my written communication,  for „brainstorming“, for explanation of new topics and how to handle them in an order that’s making sense.  ","4","3","3","2","3","5","4","5","5","5","","4","5","6 - fully agree","5","4","5","6 - fully agree","6 - fully agree","5","4","3","4","4","6 - fully agree","6 - fully agree","","sometimes","often","sometimes","never","sometimes","often","often","sometimes","often","sometimes","often","often","often","often","never","never","never","","6","6","6","6","5","5","","6","6","6","6","6","6","4 - neither","","When I’m new to a project I like to use LLMs to get a first idea of important aspects that need to be considered.","I have no real example, but I’m aware not to take sensible information serious without deeper research. ","It’s a very interesting research field and I wish you all the best with your survey. ","997.4","101.05","","","","","","","","","","","87.42","","","165.73","","","","104.74","","","113.61","","","166.36","","","","","48.81","","","24.72","","","157.93","","","","27.03",""
"24","","","en","2090187387","2025-05-07 20:58:31","2025-05-07 20:58:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","2025-05-08 11:27:02","10","en","281614417","2025-05-08 11:14:19","2025-05-08 11:27:02","Male","","25","Student","","Study robotics and AI and work, SAP Analyst","Full-time","Half-time","3.5","2","5","Entry-level","","6-10","","1 - Not at all","1 - Not at all","1 - Not at all","2","5 - A great extent","4","","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","4","4","5","","Multiple times a day","Asking the GPT for information about a certain topic in school or work so it can give me a good layout of what I need to research. Help with paraphrasing emails, paragraphs in papers and such. And also talk about personal matters or if I need help and information is not easily available ","7 - strongly agree","5","3","2","4","7 - strongly agree","7 - strongly agree","5","6","6","","6 - fully agree","6 - fully agree","6 - fully agree","5","6 - fully agree","5","6 - fully agree","6 - fully agree","5","5","6 - fully agree","6 - fully agree","4","3","5","","rarely","never","rarely","sometimes","never","rarely","sometimes","often","sometimes","rarely","rarely","rarely","never","rarely","often","never","never","","7 - extremely agree","6","7 - extremely agree","6","7 - extremely agree","7 - extremely agree","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","How sometimes the solution I come up with is missing important aspects that could break the pipeline, but consulting with an LLM beforehand has helped me take cases I did not think of in mind.","When the memory of the LLM gets too full and it starts confusing data that is important with useless information and I almost broke a system because I did not pay close attention to the output generated by the LLM
","Some questions can be left to interpretation as in for my case of entry-level, fully remote job I don't take administrative decisions or propose them or spend a lot of time in contact with my team so it should allow the participant to also consider the case of working with student colleagues in projects or assignments.  ","766.45","126.6","","","","","","","","","","","56.5","","","100.17","","","","32.74","","","69.74","","","94","","","","","19.85","","","15.22","","","133.09","","","","118.54",""
"27","2025-05-08 18:29:58","10","en","46589500","2025-05-08 17:54:15","2025-05-08 18:29:58","Male","","27","Student","","Business Administration ","Full-time","Half-time","2","1","1","Entry-level","","6-10","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","3","3","","4","4","5","5","5","6 - perfect ability","2","3","4","5","4","3","4","3","5","","Every day","As an helpful assistant ","5","2","6","2","3","6","7 - strongly agree","1 - strongly disagree","6","4","","4","5","4","4","6 - fully agree","4","5","5","2","4","2","5","3","5","4","","often","often","rarely","rarely","rarely","rarely","sometimes","sometimes","rarely","sometimes","rarely","sometimes","sometimes","rarely","rarely","sometimes","sometimes","","5","3","5","5","5","5","","5","6","6","6","5","6","3","","Sometimes AI is more empathetic than doctors (Chat GPT always tries to solve problems and listens closely)","It often gives wrong answers in the field of mathematics ","","2145.63","179.11","","","","","","","","","","","112.93","","","55.69","","","","70.76","","","1005.2","","","359.91","","","","","101.55","","","34.99","","","222.43","","","","3.06",""
"28","2025-05-09 12:46:56","10","en","1482699411","2025-05-09 12:36:25","2025-05-09 12:46:56","Male","","26","Student","","Computer Science","Full-time","Half-time","2","3","0","Mid-level","","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","2","4","3","","5","4","4","6 - perfect ability","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","5","6 - perfect ability","5","5","","Every day","Code Generation/Code Suggestions","3","6","1 - strongly disagree","2","3","5","7 - strongly agree","5","2","5","","6 - fully agree","6 - fully agree","2","5","4","3","2","3","5","5","5","4","5","4","4","","often","rarely","often","never","sometimes","rarely","sometimes","sometimes","never","rarely","never","never","never","never","never","never","never","","7 - extremely agree","5","6","5","7 - extremely agree","5","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","","","","635.26","154.09","","","","","","","","","","","129.79","","","64.83","","","","87.02","","","71.57","","","69.8","","","","","21.08","","","17.98","","","7.4","","","","11.7",""
