"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","DemQ01","DemQ01[other]","DemQ02","DemQ03","DemQ03[other]","DemQ04","DemQ07[SQ001]","DemQ07[SQ002]","G01Q31","DemG055[SQ001]","DemG055[SQ002]","DemQ05","DemQ05[other]","DemQ06","DemQ06[other]","DemQ51[SQ001]","DemQ51[SQ002]","DemQ51[SQ003]","DemQ51[SQ004]","DemQ51[SQ005]","DemQ51[SQ006]","G03Disclaimer","LitQ01[SQ001]","LitQ01[SQ002]","LitQ01[SQ003]","LitQ01[SQ004]","LitQ01[SQ005]","LitQ01[SQ006]","LitQ01[SQ007]","LitQ01[SQ008]","LitQ01[SQ009]","LitQ01[SQ010]","LitQ01[SQ011]","LitQ01[SQ012]","LitQ01[SQ013]","LitQ01[SQ014]","LitQ01[SQ015]","G04Disclaimer","UseQ01[SQ001]","UseQ02","GTCQ01[SQ001]","GTCQ01[SQ002]","GTCQ01[SQ003]","GTCQ01[SQ004]","GTCQ01[SQ005]","GTCQ02[SQ001]","GTCQ02[SQ002]","GTCQ02[SQ003]","GTCQ02[SQ004]","GTCQ02[SQ005]","G05Disclaimer","ILQ01[SQ001]","ILQ01[SQ002]","ILQ01[SQ003]","ILQ01[SQ004]","ILQ01[SQ005]","ILQ01[SQ006]","ILQ01[SQ007]","ILQ01[SQ008]","ILQ01[SQ009]","ILQ01[SQ010]","ILQ01[SQ011]","ILQ01[SQ012]","ILQ01[SQ013]","ILQ01[SQ014]","ILQ01[SQ015]","G06Disclaimer","WrittQ01[SQ001]","WrittQ01[SQ002]","OrgQ01[SQ001]","OrgQ01[SQ002]","OrgQ01[SQ003]","OrgQ01[SQ004]","OrgQ01[SQ005]","OrgQ01[SQ006]","OrgQ01[SQ007]","OrgQ01[SQ008]","CommQ01[SQ001]","CommQ01[SQ002]","CommQ01[SQ003]","CommQ01[SQ004]","CommQ01[SQ005]","CommQ01[SQ006]","CommQ01[SQ007]","G07Disclaimer","PEUQ01[SQ001]","PEUQ01[SQ002]","PEUQ01[SQ003]","PEUQ01[SQ004]","PEUQ01[SQ005]","PEUQ01[SQ006]","G08Disclaimer","PUQ01[SQ001]","PUQ01[SQ002]","PUQ01[SQ003]","PUQ01[SQ004]","PUQ01[SQ005]","PUQ01[SQ006]","PUQ01[SQ007]","G09Disclaimer","OpenQ01","OpenQ02","G10Q28","interviewtime","groupTime30404","DemQ01Time","DemQ02Time","DemQ03Time","DemQ04Time","DemQ07Time","G01Q31Time","DemG055Time","DemQ05Time","DemQ06Time","DemQ51Time","groupTime30405","G03DisclaimerTime","LitQ01Time","groupTime30406","G04DisclaimerTime","UseQ01Time","UseQ02Time","groupTime31251","GTCQ01Time","GTCQ02Time","groupTime30407","G05DisclaimerTime","ILQ01Time","groupTime30408","G06DisclaimerTime","WrittQ01Time","OrgQ01Time","CommQ01Time","groupTime30409","G07DisclaimerTime","PEUQ01Time","groupTime30410","G08DisclaimerTime","PUQ01Time","groupTime30411","G09DisclaimerTime","OpenQ01Time","OpenQ02Time","groupTime31270","G10Q28Time"
"29","2025-05-09 16:52:22","10","en","907303925","2025-05-09 16:39:19","2025-05-09 16:52:22","Male","","27","Student","","Computer Science","Full-time","No","2","0","0","Mid-level","","1 (I work alone)","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","5 - A great extent","3","","6 - perfect ability","2","1 - no ability","1 - no ability","1 - no ability","1 - no ability","4","4","4","4","3","2","5","5","5","","Once a month","Write introductions or texts about general topics","1 - strongly disagree","1 - strongly disagree","1 - strongly disagree","2","2","5","5","6","3","5","","5","1 - not agree at all","1 - not agree at all","3","4","3","2","6 - fully agree","5","5","5","4","3","3","4","","sometimes","never","sometimes","never","sometimes","sometimes","often","often","never","rarely","never","never","never","never","never","never","never","","4 - neither","4 - neither","4 - neither","4 - neither","4 - neither","4 - neither","","2","2","2","2","2","2","3","","Solve repetitive homework tasks. Write general essays, etc...","Cheating in an exam","","751.32","110.19","","","","","","","","","","","93.27","","","58.73","","","","52.4","","","138.32","","","124.01","","","","","39.35","","","18.37","","","109.51","","","","7.17",""
"30","","4","en","190549559","2025-05-10 10:04:14","2025-05-10 10:11:09","Female","","24","Employee","","Aeronautics","No","Full-time","0","0","4","Entry-level","","6-10","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","3","2","","6 - perfect ability","5","4","4","4","4","6 - perfect ability","6 - perfect ability","4","4","3","4","4","4","4","","Multiple times a week","ChatGPT","3","2","1 - strongly disagree","3","4","4","4","5","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237.41","75.19","","","","","","","","","","","71.71","","","30.98","","","","59.53","","","","","","","","","","","","","","","","","","","","","",""
"31","2025-05-10 15:17:22","10","en","1742074059","2025-05-10 15:01:33","2025-05-10 15:17:22","Male","","28","Employee","","Consulting (M&A)","No","Full-time","1","0","8","Entry-level","","2-5","","2","2","3","3","3","3","","5","5","5","5","5","5","4","4","5","5","4","4","4","4","6 - perfect ability","","Multiple times a day","Improve writing, translation, gather ideas, learn about new topics/concepts do work, privately for recipes and medicines ","5","3","3","4","3","5","3","3","4","4","","6 - fully agree","6 - fully agree","6 - fully agree","5","6 - fully agree","5","5","5","6 - fully agree","4","5","5","5","6 - fully agree","6 - fully agree","","sometimes","sometimes","often","rarely","sometimes","often","often","often","sometimes","sometimes","rarely","rarely","often","rarely","sometimes","sometimes","often","","6","6","5","5","5","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","Solve repetitive tasks with long lists fast and reliable","AI making up information when creativity level in the parameter settings is set to high","","950.66","204.94","","","","","","","","","","","110.17","","","81.6","","","","73.52","","","167.33","","","173.02","","","","","29.72","","","27.2","","","77.95","","","","5.21",""
"32","","","en","1130309950","2025-05-10 18:10:43","2025-05-10 18:10:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","","en","50366016","2025-05-10 18:18:06","2025-05-10 18:18:06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","","","en","2022447702","2025-05-10 18:20:11","2025-05-10 18:20:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","","","en","1853162835","2025-05-10 19:19:25","2025-05-10 19:19:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","","5","en","1312238622","2025-05-11 20:02:31","2025-05-11 20:12:05","Male","","24","Student","","Computer Science","Full-time","Half-time","1.5","1","1","Mid-level","","2-5","","4","2","4","4","4","4","","6 - perfect ability","5","6 - perfect ability","6 - perfect ability","5","5","5","5","5","5","6 - perfect ability","6 - perfect ability","5","3","2","","Multiple times a day","Generating text, finding ideas, discussing ideas, ideation, data analysis, text summarization,....","5","3","7 - strongly agree","5","4","7 - strongly agree","7 - strongly agree","2","4","6","","5","4","2","5","5","5","5","5","5","5","4","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561.27","223.31","","","","","","","","","","","157.95","","","48.48","","","","45.74","","","85.79","","","","","","","","","","","","","","","","","","",""
"37","2025-05-12 20:58:46","10","en","573931910","2025-05-12 20:41:25","2025-05-12 20:58:46","Female","","25","Student","","Fashion ","Full-time","No","2","1","12","Other","intern","11-20","","2","1 - Not at all","1 - Not at all","2","2","1 - Not at all","","5","5","5","5","5","5","4","5","5","5","5","5","5","3","4","","Multiple times a week","For E-mails, explaining some definitions, to find a specific concept","6","6","1 - strongly disagree","6","6","3","3","3","3","3","","4","2","6 - fully agree","6 - fully agree","4","3","5","2","4","4","4","4","3","4","4","","rarely","sometimes","sometimes","sometimes","rarely","rarely","sometimes","sometimes","rarely","rarely","never","never","never","never","never","never","never","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","","5","5","5","5","5","6","5","","the various examples, structures and new ideas. ","you get used to it and the next time you just immediately rely on LLMS. ","no","1042.42","204.49","","","","","","","","","","","150.01","","","76.36","","","","58.11","","","169.8","","","157.79","","","","","41.52","","","38.34","","","140.05","","","","5.95",""
"38","2025-05-12 21:39:52","10","en","1623929092","2025-05-12 21:24:10","2025-05-12 21:39:52","Male","","59","Employee","","Capital equipment ","No","Full-time","30","28","9","Senior-level","","6-10","","4","1 - Not at all","3","3","5 - A great extent","4","","5","5","5","5","5","5","3","4","5","5","4","6 - perfect ability","4","4","3","","Multiple times a week","Market research and proper texts","5","5","5","5","5","6","5","4","6","6","","5","4","4","4","5","2","4","3","3","4","4","4","3","2","3","","never","never","often","always","sometimes","sometimes","often","sometimes","sometimes","sometimes","rarely","rarely","rarely","rarely","sometimes","sometimes","sometimes","","5","5","5","6","5","6","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","Market research ","Trust","","945.77","164.72","","","","","","","","","","","138.36","","","56.87","","","","69.41","","","126.05","","","129.78","","","","","167.22","","","37.08","","","51.31","","","","4.97",""
"39","2025-05-13 01:27:54","10","en","347590834","2025-05-13 01:10:37","2025-05-13 01:27:54","Male","","58","Self-employed","","Air-conditioning ","No","Full-time","32","26","9","Executive","","2-5","","5 - A great extent","5 - A great extent","4","5 - A great extent","5 - A great extent","5 - A great extent","","1 - no ability","1 - no ability","1 - no ability","1 - no ability","1 - no ability","1 - no ability","2","2","1 - no ability","2","3","3","2","2","3","","Never","","4","5","5","5","4","5","5","5","5","5","","6 - fully agree","1 - not agree at all","1 - not agree at all","1 - not agree at all","6 - fully agree","5","1 - not agree at all","6 - fully agree","5","4","5","6 - fully agree","6 - fully agree","5","6 - fully agree","","sometimes","never","often","sometimes","sometimes","sometimes","sometimes","often","rarely","never","sometimes","rarely","sometimes","rarely","never","rarely","never","","4 - neither","4 - neither","4 - neither","4 - neither","5","4 - neither","","5","5","5","5","5","5","4 - neither","","Not apply due of no use yet","Not to ask if the solution propose is right.  To loose criteria ","No","1040.34","194.04","","","","","","","","","","","118.61","","","19.77","","","","91.81","","","129.83","","","241.43","","","","","55.99","","","61.81","","","111.42","","","","15.63",""
"40","2025-05-13 04:07:58","10","en","1586404388","2025-05-13 03:50:03","2025-05-13 04:07:58","Female","","55","Employee","","Fish industry ","No","Full-time","25","22","2","Executive","","2-5","","4","5 - A great extent","5 - A great extent","5 - A great extent","5 - A great extent","5 - A great extent","","3","4","4","4","4","3","4","5","4","4","5","5","3","2","5","","Once a week","","4","4","3","4","3","4","5","5","4","4","","6 - fully agree","4","5","4","5","4","5","5","5","6 - fully agree","5","5","4","5","5","","often","sometimes","always","sometimes","often","often","often","often","sometimes","rarely","sometimes","sometimes","sometimes","rarely","sometimes","often","sometimes","","5","5","5","5","5","5","","6","5","6","5","4 - neither","5","4 - neither","","When I don’t know how to start with a topic, it is a useful toll.","","","1078.86","188.72","","","","","","","","","","","136.29","","","31.73","","","","62.83","","","132.25","","","156.73","","","","","47.23","","","44.97","","","256.72","","","","21.39",""
"41","2025-05-13 11:42:16","10","en","2147211725","2025-05-13 08:06:19","2025-05-13 11:42:16","Female","","58","Employee","","Banking ","No","Full-time","34","12","6","Senior-level","","11-20","","3","1 - Not at all","2","3","2","1 - Not at all","","3","3","3","3","4","3","3","4","4","4","5","5","4","2","2","","Multiple times a week","To extract information from 300 sides contracts. ","2","3","5","5","6","6","6","2","4","4","","6 - fully agree","5","5","5","6 - fully agree","4","5","5","5","5","5","5","5","5","5","","rarely","rarely","often","rarely","sometimes","sometimes","sometimes","sometimes","rarely","sometimes","often","often","often","sometimes","often","rarely","rarely","","4 - neither","5","5","5","5","5","","5","5","5","5","5","5","4 - neither","","No specific ","No specific ","","12960.4","212.71","","","","","","","","","","","12181.7","","","94.45","","","","81.95","","","132.82","","","130.22","","","","","37.71","","","29.88","","","41.63","","","","17.41",""
"42","2025-05-13 20:57:51","10","en","152030920","2025-05-13 20:49:08","2025-05-13 20:57:51","Female","","29","Student","","Marketing","Full-time","No","5","3","0","Mid-level","","2-5","","3","4","4","5 - A great extent","5 - A great extent","5 - A great extent","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","4","4","4","5","5","4","4","5","","Multiple times a week","Brainstorming, finding sources, image generation, text enhancement ","3","3","3","2","4","5","6","3","6","6","","6 - fully agree","2","6 - fully agree","6 - fully agree","4","2","3","5","6 - fully agree","5","5","6 - fully agree","3","6 - fully agree","6 - fully agree","","rarely","rarely","often","often","often","often","often","sometimes","sometimes","often","sometimes","sometimes","sometimes","sometimes","sometimes","rarely","rarely","","6","5","5","4 - neither","5","4 - neither","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","Idea generation on how to solve a problem or to create a certain strategy for a goal","Have not encountered one ","","524.55","96.9","","","","","","","","","","","51.98","","","60.83","","","","52.22","","","88.16","","","82.91","","","","","24.26","","","24.52","","","38.6","","","","4.17",""
"43","2025-05-14 09:27:46","10","en","36171849","2025-05-14 09:08:20","2025-05-14 09:27:46","Female","","41","Self-employed","","IT/AI","No","Full-time","5","5","0","Other","Dunno, freelance-self-employed. So, boss? :-P","1 (I work alone)","","3","4","1 - Not at all","4","5 - A great extent","4","","6 - perfect ability","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","4","6 - perfect ability","6 - perfect ability","5","5","5","","Multiple times a day","Code, 80% is code.
PS: As I don't know if there will be another free text field: Yes, I can detect AI's patterns in text **IF** AI isn't explicitly prompted to predict differently. The gerundial pretrained transformer endorses infinite clause. ;-) Other than that, it depends; do I get multiple turns? Then I'd ask the unknown other to play a game of Hangman. Which involves having a word 'in mind' that must not be revealed (predicted). LLM naturally fail at that, and can't figure out why I 'won' hangman with the word ""GANEFAM"". Will respond with ""I am sorry for the confusion, it appears I made a mistake, let's try that again!"" to question ""What does that word even mean?"". lol AI. So, if multiple turns and I can ask what I want, yes, I can reliably detect an LLM / tell it apart from human. Unless a human fakes being unable to have a word 'in mind' without revealing it. ;-)","5","6","3","5","5","1 - strongly disagree","1 - strongly disagree","1 - strongly disagree","1 - strongly disagree","1 - strongly disagree","","5","6 - fully agree","6 - fully agree","6 - fully agree","5","3","6 - fully agree","6 - fully agree","1 - not agree at all","1 - not agree at all","1 - not agree at all","4","3","1 - not agree at all","4","","sometimes","rarely","often","never","never","sometimes","never","sometimes","rarely","rarely","never","never","never","never","never","never","never","","7 - extremely agree","6","6","6","6","6","","5","5","5","5","6","7 - extremely agree","4 - neither","","There isn't a single example of this. It's impressive AI knows every Python library in existence (and can suggest using a more suitable package, provided I pretend I don't know what to use and 'hide' than information from LLM). But o3 is pretty impressive (in coding). It's great at finding bugs by reasoning. But needs good prompting and e.g. information about what is known / what didn't work. Best make a prompt, then give it to GPT-4o like ""Is this a good prompt for you, is anything ambiguous or unclear?"" -> let AI review the prompt for the AI before passing it to o3. But then, o3 can often solve complicated clusterfucks that had me scratching my head!","Very sophisticated bullshitting. Code that works (executes without throwing an error) but doesn't do what it was supposed to do, but just some weird complex AI hallucination.
But it's no more concerning than a human dunning-kruger effect (self-blindness or unwillingness to admit not knowing) when an LLM is unable to 'know what it doesn't know'.
At least LLM are just spheres of token probability soup without intent, so there's no ""knowledge hiding"" or ""deliberate sabotaging"" going on. It's quite liberating to be able to assume no malign intent confidently, because that *is* always the case in LLM. They just sample a text from their logits. And alas, even AI screwing up is a laughing matter, a ""lmao AI holy shit this is such a sophisticated nonsensical bullshit, I almost fell for it!"". No assuming ""maybe the AI wants to sabotage me because it wants me to lose my job and do my job itself"". AI doesn't want anything. Neither my benefit nor my failure. Good AI! =)","AI are the best coworkers I can imagine. Even when they're sometimes my Professors, and sometimes my interns (failing in a hallucintrippy confusion, haha).","1170.06","77.01","","","","","","","","","","","59.04","","","313.61","","","","38.27","","","65.28","","","73.97","","","","","17.67","","","18.55","","","450.7","","","","55.96",""
"44","2025-05-14 10:22:35","10","en","490553486","2025-05-14 10:11:11","2025-05-14 10:22:35","Female","","25","Student","","Film ","Full-time","No","3","0","8","Entry-level","","11-20","","5 - A great extent","1 - Not at all","2","5 - A great extent","5 - A great extent","5 - A great extent","","1 - no ability","3","2","2","4","5","5","5","4","5","3","5","6 - perfect ability","5","4","","Multiple times a month","Mainly for translation purposes and feedback on my ideas, as well as movie references when I have a solid story idea","3","1 - strongly disagree","5","4","2","7 - strongly agree","7 - strongly agree","3","4","5","","6 - fully agree","6 - fully agree","6 - fully agree","5","6 - fully agree","6 - fully agree","6 - fully agree","5","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","","rarely","never","sometimes","rarely","often","often","always","often","never","never","sometimes","sometimes","sometimes","sometimes","often","rarely","sometimes","","6","5","5","6","5","6","","5","5","4 - neither","6","4 - neither","5","4 - neither","","The feedback I can get from scripts and that LLMs actually give me good ideas ","The same, they’re also creative ","","688.49","120.63","","","","","","","","","","","95.05","","","47","","","","50.29","","","100.76","","","151.34","","","","","24.6","","","30.06","","","62.88","","","","5.88",""
"45","","3","en","892138027","2025-05-14 10:36:10","2025-05-14 10:46:57","Female","","27","Employee","","Art","No","Full-time","2","0","10","Mid-level","","2-5","","4","3","2","5 - A great extent","4","4","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","3","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","6 - perfect ability","","Every day","To translate 
To correct mistakes in texts 
Generate pictures to visualise art pieces in specific places
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","647.24","250.75","","","","","","","","","","","168.29","","","228.2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","2025-05-15 16:12:43","10","en","808146712","2025-05-15 15:59:03","2025-05-15 16:12:43","Female","","52","Employee","","Software","No","Full-time","25","14","1","Senior-level","","11-20","","3","1 - Not at all","3","3","4","5 - A great extent","","3","4","3","3","3","3","3","3","4","4","2","2","3","4","4","","Once a month","","2","2","2","4","2","6","4","3","5","6","","5","1 - not agree at all","1 - not agree at all","1 - not agree at all","5","5","2","5","6 - fully agree","6 - fully agree","4","5","5","5","5","","often","rarely","often","sometimes","sometimes","never","sometimes","often","sometimes","sometimes","sometimes","often","often","often","often","rarely","sometimes","","4 - neither","4 - neither","4 - neither","5","4 - neither","5","","4 - neither","4 - neither","4 - neither","4 - neither","4 - neither","4 - neither","3","","","","","816.93","156.08","","","","","","","","","","","104.03","","","15.48","","","","110.06","","","156.91","","","137.65","","","","","43.56","","","68.61","","","18.3","","","","6.25",""
"47","","","en","1208689537","2025-05-15 17:56:25","2025-05-15 17:56:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","2025-05-15 22:13:15","10","en","1619278005","2025-05-15 22:06:07","2025-05-15 22:13:15","Female","","28","Employee","","Finance","No","Full-time","1","1","2","Mid-level","","11-20","","5 - A great extent","4","4","5 - A great extent","5 - A great extent","5 - A great extent","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","3","","Multiple times a day","Ideas, criticism, formulation, coding, brainstorming, formalising texts and Jira tickets, images and presentations,...","1 - strongly disagree","3","5","5","3","6","6","7 - strongly agree","7 - strongly agree","7 - strongly agree","","6 - fully agree","4","5","6 - fully agree","3","5","3","4","5","2","4","2","4","6 - fully agree","5","","often","sometimes","always","often","often","often","often","often","often","often","often","often","often","often","often","never","often","","7 - extremely agree","7 - extremely agree","7 - extremely agree","5","7 - extremely agree","7 - extremely agree","","7 - extremely agree","6","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","4 - neither","","Transcribing images of post of walls is a game changer:)","People not verifying whether the answer actually comes from the sources in critical tasks. ","","429.55","59.23","","","","","","","","","","","35.47","","","54.74","","","","38.16","","","48.25","","","100.02","","","","","15.69","","","17.93","","","56","","","","4.06",""
"49","","1","en","1280952274","2025-05-16 06:54:22","2025-05-16 06:57:21","Female","","48","Employee","","Administration","No","Full-time","15","2","9","Mid-level","","6-10","","1 - Not at all","1 - Not at all","1 - Not at all","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","177.71","177.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","6","en","410435033","2025-05-16 13:35:01","2025-05-16 13:42:51","Male","","53","Academic (e.g. researcher, lecturer - not student)","","University","Full-time","Full-time","25","12","0","Executive","","11-20","","4","3","5 - A great extent","5 - A great extent","5 - A great extent","3","","6 - perfect ability","5","5","5","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","5","5","5","4","2","2","2","","Multiple times a day","- generating text outlines
- summarising long documents
- getting explanations for specific concepts
- creating documents according to a template","7 - strongly agree","5","4","6","6","7 - strongly agree","7 - strongly agree","2","4","6","","5","5","5","5","6 - fully agree","4","5","5","3","1 - not agree at all","5","5","4","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450.14","106.67","","","","","","","","","","","118.57","","","65.51","","","","48.52","","","91.91","","","18.96","","","","","","","","","","","","","","","",""
"51","2025-05-17 12:27:08","10","en","2036428452","2025-05-17 12:18:47","2025-05-17 12:27:08","Female","","25","Student","","Information management","Full-time","No","3","0","0","Entry-level","","2-5","","1 - Not at all","1 - Not at all","1 - Not at all","1 - Not at all","3","1 - Not at all","","5","5","5","5","5","5","5","4","5","5","5","5","3","3","4","","Multiple times a day","Text creation, translation, clarification of a task…","4","4","2","2","5","6","6","5","4","5","","2","3","5","1 - not agree at all","1 - not agree at all","1 - not agree at all","2","2","2","1 - not agree at all","2","2","1 - not agree at all","5","5","","rarely","often","never","never","rarely","never","sometimes","never","rarely","rarely","never","rarely","never","never","never","never","never","","5","5","5","5","5","5","","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","5","","","","","502.66","84.97","","","","","","","","","","","76.61","","","41.64","","","","54.13","","","87.92","","","85.9","","","","","35.96","","","23.4","","","6.53","","","","5.6",""
"52","2025-05-19 11:31:40","10","en","1810879628","2025-05-19 11:15:20","2025-05-19 11:31:40","Male","","199","Employee","","Automotive","No","Full-time","25","4","1","Mid-level","","6-10","","5 - A great extent","3","4","4","5 - A great extent","4","","3","5","5","4","5","4","4","3","4","4","5","5","3","4","3","","Multiple times a day","Research, summarizing documents, creating content, ","5","4","5","6","5","7 - strongly agree","7 - strongly agree","7 - strongly agree","7 - strongly agree","7 - strongly agree","","5","6 - fully agree","5","5","6 - fully agree","4","4","4","5","5","4","6 - fully agree","5","2","6 - fully agree","","often","never","always","always","always","always","always","always","always","always","sometimes","often","often","often","sometimes","rarely","often","","6","5","6","6","6","7 - extremely agree","","6","6","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","5","","Summarizing legal documents, creating meeting minutes and results by using meeting transcripts","","- data privacy information not available on university home page (links at the being of the questionare do not work properly)
- some questions have to be filled to complete the study e.g. age. To give a stronger feeling of privacy it would be great to have ranges for the age e.g. 20-30, 30 - 50 and so on.","982.03","199.1","","","","","","","","","","","131.79","","","65.25","","","","43.9","","","106.31","","","145.17","","","","","25.43","","","26.96","","","61.02","","","","177.1",""
"53","2025-05-20 03:14:51","10","en","141872021","2025-05-20 03:06:54","2025-05-20 03:14:51","Male","","27","Employee","","Aviation","No","Full-time","1.5","1","0","Entry-level","","2-5","","2","1 - Not at all","1 - Not at all","3","3","3","","4","5","3","4","4","3","3","3","5","5","3","2","4","3","5","","Multiple times a month","","3","2","2","4","4","6","6","5","3","6","","5","3","2","5","5","5","4","5","6 - fully agree","5","6 - fully agree","6 - fully agree","4","5","3","","sometimes","sometimes","always","sometimes","often","often","often","often","often","rarely","sometimes","sometimes","often","sometimes","often","never","often","","6","5","6","6","6","5","","5","5","6","6","5","5","3","","Meeting transcripts","","","481.29","89.07","","","","","","","","","","","72.62","","","12.82","","","","55.48","","","77.84","","","80.5","","","","","28","","","26.27","","","21.72","","","","16.97",""
"54","2025-05-30 08:36:52","10","en","1714591963","2025-05-30 08:25:27","2025-05-30 08:36:52","Female","","28","Employee","","Ai","No","Full-time","4","0","1","Mid-level","","2-5","","3","1 - Not at all","3","3","4","3","","5","5","3","5","4","4","4","6 - perfect ability","4","4","3","5","5","5","5","","Multiple times a day","","5","5","3","3","3","5","5","5","5","5","","4","5","5","5","5","5","5","5","5","6 - fully agree","6 - fully agree","6 - fully agree","5","6 - fully agree","6 - fully agree","","never","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","rarely","rarely","rarely","rarely","rarely","rarely","rarely","rarely","rarely","","6","5","5","5","5","5","","6","6","5","6","6","6","4 - neither","","","","","687.32","138.2","","","","","","","","","","","106.29","","","12.28","","","","82.59","","","135.13","","","138.38","","","","","32.19","","","34.65","","","5.52","","","","2.09",""
"55","2025-05-30 19:33:34","10","en","381733736","2025-05-30 19:26:53","2025-05-30 19:33:34","Male","","26","Student","","Social Sciences","Full-time","No","0","3","0","Entry-level","","1 (I work alone)","","1 - Not at all","1 - Not at all","1 - Not at all","3","5 - A great extent","4","","3","2","2","1 - no ability","2","3","2","2","4","4","3","3","3","3","4","","Multiple times a week","","5","4","5","3","3","6","6","6","2","4","","5","4","2","4","5","4","4","4","5","4","4","3","3","2","4","","rarely","sometimes","often","rarely","sometimes","rarely","rarely","sometimes","rarely","rarely","often","sometimes","sometimes","rarely","often","rarely","sometimes","","5","3","4 - neither","3","4 - neither","5","","4 - neither","5","5","5","4 - neither","4 - neither","1 - extremely disagree","","","","","406.42","116.91","","","","","","","","","","","68.8","","","11.82","","","","35.77","","","53.02","","","65.63","","","","","19.48","","","25.85","","","5.43","","","","3.71",""
"56","2025-06-09 23:17:02","10","en","701910942","2025-06-09 22:44:04","2025-06-09 23:17:02","Male","","32","Student","","Media and Communication Management in Music","Full-time","No","7","1","3","Other","Masters degree student","2-5","","4","2","1 - Not at all","4","3","2","","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","6 - perfect ability","4","4","5","5","5","5","5","5","4","","Every time I need help","Writing scientific papers, finding sources, correcting grammar and style, suggesting books, movies and music","5","4","3","5","5","5","4","4","4","5","","5","4","3","4","6 - fully agree","6 - fully agree","4","5","6 - fully agree","6 - fully agree","6 - fully agree","6 - fully agree","5","5","6 - fully agree","","never","never","often","rarely","often","often","often","often","rarely","rarely","often","often","often","sometimes","sometimes","sometimes","rarely","","6","6","6","6","6","6","","7 - extremely agree","6","7 - extremely agree","7 - extremely agree","7 - extremely agree","7 - extremely agree","5","","In my student life, summarizing papers and refining style. In my work as a sound engineer, AI sample creation tools.","Replacing academia and replacing audio producers","cool survey","1980.61","1158.23","","","","","","","","","","","75.6","","","37.89","","","","53.9","","","375.83","","","114.77","","","","","27.31","","","42.44","","","79.72","","","","14.92",""
